film_screening,film_creator,film_title,film_duration_human,film_filename,film_vimeo,film_url
14:28,Guy de Cointet,Going to the Market (1975),7′,Cointet-Guy-de_Going-to-the-Market_1975.mp4,https://player.vimeo.com/video/175904448,http://ubuvideo.memoryoftheworld.org/Cointet-Guy-de_Going-to-the-Market_1975.mp4
14:35,Peter Rose,,6′,Rose-Peter_The-Gift.m4v,https://player.vimeo.com/video/135111577,http://ubuvideo.memoryoftheworld.org/Rose-Peter_The-Gift.m4v
14:42,Jennifer Steinkamp,Dervish (2004-2005),1′,Steinkamp_Jennifer_Dervish8.mp4,https://player.vimeo.com/video/141953544,http://ubuvideo.memoryoftheworld.org/Steinkamp_Jennifer_Dervish8.mp4
14:43,David Van Tieghem,,4′,Van-Tieghem-David_EarToGround_1979.mp4,https://player.vimeo.com/video/132273654,http://ubuvideo.memoryoftheworld.org/Van-Tieghem-David_EarToGround_1979.mp4
14:47,Paul Pfeiffer,Three Studies of Figures at the Base of a Crucifixion (2001),46″,Pfeiffer-Paul_Three-Studies-for-Figures-at-the-Base-of-a-Crucifixion_2001.mp4,https://player.vimeo.com/video/135110225,http://ubuvideo.memoryoftheworld.org/Pfeiffer-Paul_Three-Studies-for-Figures-at-the-Base-of-a-Crucifixion_2001.mp4
14:48,Kamran Shirdel,Nedamatgah (Women&#8217;s Prison) (1965),10′,Shirdel_Kamran_Nedamatgah_1965.iphone.m4v,https://player.vimeo.com/video/135112118,http://ubuvideo.memoryoftheworld.org/Shirdel_Kamran_Nedamatgah_1965.iphone.m4v
14:59,Tom Sachs,,60″,Sachs-Tom_Space-Program-2-Mars-2001.m4v,https://player.vimeo.com/video/133438391,http://ubuvideo.memoryoftheworld.org/Sachs-Tom_Space-Program-2-Mars-2001.m4v
15:00,IRWIN,,5′,Irwin_Report-On-Transnacionala_1996.mp4,https://player.vimeo.com/video/126876456,http://ubuvideo.memoryoftheworld.org/Irwin_Report-On-Transnacionala_1996.mp4
15:05,Jack Goldstein,The Knife,5′,Goldstein-Jack_The-Knife_1975.mp4,https://player.vimeo.com/video/125837422,http://ubuvideo.memoryoftheworld.org/Goldstein-Jack_The-Knife_1975.mp4
15:10,David Shrigley,Headless Drummer (2011),1′,Shrigley-David_Headless-Drummer.mp4,https://player.vimeo.com/video/135112296,http://ubuvideo.memoryoftheworld.org/Shrigley-David_Headless-Drummer.mp4
