film_screening,film_creator,film_title,film_duration_human,film_filename,film_vimeo,film_url
04:32,Juliette Blightman,An Autonomous Sphere of Activity (2007),3′,Blightman-Juliette_An-Autonomous-Sphere-Of-Activity_2007.iphone.m4v,https://player.vimeo.com/video/133445660,http://ubuvideo.memoryoftheworld.org/Blightman-Juliette_An-Autonomous-Sphere-Of-Activity_2007.iphone.m4v
04:36,Artur Żmijewski,The Game of Tag  (2000-2001),4′,Zmijewski-Artur_The-Game-of-Tag.mp4,https://player.vimeo.com/video/132852389,http://ubuvideo.memoryoftheworld.org/Zmijewski-Artur_The-Game-of-Tag.mp4
04:40,Nam June Paik,Nam June Paik: There is No Rewind Button for Life (2006),3′,Paik-Nam-June_Funeral-in-Korea.iphone.m4v,https://player.vimeo.com/video/129099265,http://ubuvideo.memoryoftheworld.org/Paik-Nam-June_Funeral-in-Korea.iphone.m4v
04:44,Kamran Shirdel,Tehran Is the Capital of Iran (1966),17′,Shirdel_Kamran_Teheran_is_the_capital_of_Iran_1966.m4v,https://player.vimeo.com/video/135112192,http://ubuvideo.memoryoftheworld.org/Shirdel_Kamran_Teheran_is_the_capital_of_Iran_1966.m4v
05:01,Jean Painleve,,13′,Painleve-Jean_Le-hippocampe.mp4,https://player.vimeo.com/video/129101176,http://ubuvideo.memoryoftheworld.org/Painleve-Jean_Le-hippocampe.mp4
05:15,Eduardo Kac,"Insect.Desperto, 1995",26″,Kac.Insect.Desperto.digitalpoem.1995.iphone.m4v,https://player.vimeo.com/video/126879884,http://ubuvideo.memoryoftheworld.org/Kac.Insect.Desperto.digitalpoem.1995.iphone.m4v
05:15,Matthew Buckingham,Three Dots & Sandra of the Tulip House or How To Live in a Free State,19′,Koester_Joachim_Buckingham_Matthew_Three_Dots_2001.mp4,https://player.vimeo.com/video/126884407,http://ubuvideo.memoryoftheworld.org/Koester_Joachim_Buckingham_Matthew_Three_Dots_2001.mp4
05:35,Janet Cardiff,Alter Bahnhof Video Walk (2012),8′,Cardiff-Janet_Alter-Bahnhof-Video-Walk.mp4,https://player.vimeo.com/video/141951951,http://ubuvideo.memoryoftheworld.org/Cardiff-Janet_Alter-Bahnhof-Video-Walk.mp4
05:43,Phil Niblock,"Max (1967), with Dave Gearey",7′,Niblock-Geary_Max-Neuhaus_1967.mp4,https://player.vimeo.com/video/128677720,http://ubuvideo.memoryoftheworld.org/Niblock-Geary_Max-Neuhaus_1967.mp4
05:50,Sterling Ruby,Ruby in Temper Tantrum / Intimate Death Magician (2003),11′,Ruby-Sterling_TAMPER-TANTRUM_INANIMATE-DEATH-MAGICIAN-2005.m4v,https://player.vimeo.com/video/233052385,http://ubuvideo.memoryoftheworld.org/Ruby-Sterling_TAMPER-TANTRUM_INANIMATE-DEATH-MAGICIAN-2005.m4v
