film_screening,film_creator,film_title,film_duration_human,film_filename,film_vimeo,film_url
22:10,Cheryl Donegan,"Practisse (1994, 6:40 min, color, sound)",6′,Donegan-Cheryl_Practisse.mp4,https://player.vimeo.com/video/124222426,http://ubuvideo.memoryoftheworld.org/Donegan-Cheryl_Practisse.mp4
22:17,Otto Muehl,Der Geile Wotan  (1970),1′,Muehl-Kren_GeileWotan_1970.mp4,https://player.vimeo.com/video/128599630,http://ubuvideo.memoryoftheworld.org/Muehl-Kren_GeileWotan_1970.mp4
22:19,Flora Wiegmann,Adaptive Lines (2007),3′,Weigmann-Flora_Adaptive-Lines_2007.mp4,https://player.vimeo.com/video/124841316,http://ubuvideo.memoryoftheworld.org/Weigmann-Flora_Adaptive-Lines_2007.mp4
22:22,Vladimir Momcilovic,The Game of Love (1967),8′,Momcilovic-Vladimir_Igra-Ljubavi.avi,https://player.vimeo.com/video/140457373,http://ubuvideo.memoryoftheworld.org/Momcilovic-Vladimir_Igra-Ljubavi.avi
22:30,Mark Leckey,GreenScreenRefrigeratorAction (2010),17′,Leckey-Mark_Green-Screen-Refrigerator_2010.mkv,https://player.vimeo.com/video/127770734,http://ubuvideo.memoryoftheworld.org/Leckey-Mark_Green-Screen-Refrigerator_2010.mkv
22:47,Wilhelm Sasnal,Untitled (Touch me) (2002),2′,Sasnal-Wilhelm_Touch Me.mp4,https://player.vimeo.com/video/129728065,http://ubuvideo.memoryoftheworld.org/Sasnal-Wilhelm_Touch Me.mp4
22:50,Samuel Beckett,Not I (1973),15′,Beckett-Samuel_Not-I-Whitelaw_1973.mp4,https://player.vimeo.com/video/123454079,http://ubuvideo.memoryoftheworld.org/Beckett-Samuel_Not-I-Whitelaw_1973.mp4
23:05,Olga Chernysheva,March (2005),7′,Chernysheva-Olga_March.mp4,https://player.vimeo.com/video/124052859,http://ubuvideo.memoryoftheworld.org/Chernysheva-Olga_March.mp4
23:13,Carrie Mae Weems,"The Fall, from Constructing History: A Requiem to Mark the Moment (2008)",3′,Weems_Carrie-May_requiem-the-fall.mov,https://player.vimeo.com/video/122206903,http://ubuvideo.memoryoftheworld.org/Weems_Carrie-May_requiem-the-fall.mov
23:16,VALIE EXPORT,Syntagma (1983),17′,VALIE-EXPORT_Syntagma_1983.mp4,https://player.vimeo.com/video/132273292,http://ubuvideo.memoryoftheworld.org/VALIE-EXPORT_Syntagma_1983.mp4
23:33,yann beauvais,d'un couvre-feu (2006),9′,beauvais-yann_duncouvrefeu_2006.mp4,https://player.vimeo.com/video/133729676,http://ubuvideo.memoryoftheworld.org/beauvais-yann_duncouvrefeu_2006.mp4
23:43,Wilhelm Sasnal,Namiot (2005),1′,Sasnal-Wilhelm_Namiot.mp4,https://player.vimeo.com/video/129727997,http://ubuvideo.memoryoftheworld.org/Sasnal-Wilhelm_Namiot.mp4
23:44,Clark Lunberry,,2′,Lunberry-Clark_Murmur.mp4,https://player.vimeo.com/video/127785782,http://ubuvideo.memoryoftheworld.org/Lunberry-Clark_Murmur.mp4
23:46,Lawrence Weiner,Broken Off (1971),50′′,Weiner-Lawrence_Broken-Off.mpg,https://player.vimeo.com/video/11091,http://ubuvideo.memoryoftheworld.org/Weiner-Lawrence_Broken-Off.mpg
23:47,Alexander Kluge,Porträt einer Bewährung (Portrait of One Who Proved His Mettle) (1964),12′,Kluge-Alexander_Richtlinien-und-Maerchen_1974.mp4,https://player.vimeo.com/video/126884262,http://ubuvideo.memoryoftheworld.org/Kluge-Alexander_Richtlinien-und-Maerchen_1974.mp4
23:59,Eduardo Kac,"Deus, 1986",34′′,Kac.Deus.digitalpoem.1986.iphone.m4v,https://player.vimeo.com/video/126879882,http://ubuvideo.memoryoftheworld.org/Kac.Deus.digitalpoem.1986.iphone.m4v
